 set Ebeam beam_P Target_P x y z pT2 phih phis k0 born            amm                    nrad_ir                rad_f                   rad_f_err              nrad                   nrad_err               rad                    rad_err                nrad_rad               nrad_rad_err
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 -0.785398 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.4807983783263869e-05 -2.2629812811241211e-08 3.3314536791294557e-12 2.4785353970452627e-05 3.3314536791294557e-12 8.8813883624888830e-06 2.7624098085806804e-09 3.3666742332941508e-05 2.7657412622598097e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 -0.471239 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.4697967056083037e-05 -2.6480335785032872e-08 3.9080909878615300e-12 2.4671486720298005e-05 3.9080909878615300e-12 8.7565966824117086e-06 2.4964053446455261e-09 3.3428083402709712e-05 2.5003134356333876e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 -0.157080 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.4641939879151317e-05 -2.8378856852557653e-08 4.0455031579085352e-12 2.4613561022298760e-05 4.0455031579085352e-12 8.6964973837828194e-06 2.2140207618144300e-09 3.3310058406081578e-05 2.2180662649723384e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 0.157080 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.4641939879151317e-05 -2.8378856852557630e-08 4.0455031579089140e-12 2.4613561022298760e-05 4.0455031579089140e-12 8.6964973837828211e-06 2.2140207618145388e-09 3.3310058406081584e-05 2.2180662649724476e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 0.471239 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.4697967056083037e-05 -2.6480335785032866e-08 3.9080909878610986e-12 2.4671486720298005e-05 3.9080909878610986e-12 8.7565966824117035e-06 2.4964053446457003e-09 3.3428083402709712e-05 2.5003134356335613e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 0.785398 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.4807983783263869e-05 -2.2629812811241237e-08 3.3314536791290425e-12 2.4785353970452627e-05 3.3314536791290425e-12 8.8813883624888830e-06 2.7624098085807793e-09 3.3666742332941508e-05 2.7657412622599081e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 1.099557 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.4967439412084128e-05 -1.6748010680660485e-08 2.4373468497230869e-12 2.4950691401403469e-05 2.4373468497230869e-12 9.0796528483664185e-06 2.5406916301735225e-09 3.4030344249769889e-05 2.5431289770232455e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 1.413717 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.5168309589592186e-05 -8.7989543073855320e-09 1.8342133173970227e-12 2.5159510635284800e-05 1.8342133173970227e-12 9.3610852656429017e-06 3.4114207481604467e-09 3.4520595900927698e-05 3.4132549614778439e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 1.727876 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.5397709223250038e-05 1.0752132684622724e-09 2.0163860859130744e-12 2.5398784436518502e-05 2.0163860859130744e-12 9.7332171273266737e-06 4.0750307460905384e-09 3.5132001563845179e-05 4.0770471321764515e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 2.042035 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.5636429804870127e-05 1.2336390747172301e-08 2.0149894542051792e-12 2.5648766195617300e-05 2.0149894542051792e-12 1.0190028619680279e-05 6.8587739310080426e-09 3.5838794815297581e-05 6.8607889204622480e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 2.356194 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.5858336604862146e-05 2.3794230068193347e-08 4.4648366114734526e-12 2.5882130834930340e-05 4.4648366114734526e-12 1.0693202243073372e-05 8.5962101214663184e-09 3.6575333078003710e-05 8.6006749580777911e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 2.670354 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.6032363105154730e-05 3.3506939493605969e-08 6.2818437563477125e-12 2.6065870044648335e-05 6.2818437563477125e-12 1.1143573597521716e-05 8.6812079673344476e-09 3.7209443642170054e-05 8.6874898110907956e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.300000 2.984513 1.000000 0.010000 3.7655613577463168e-05 -1.5294778021792697e-14 2.6128764448897373e-05 3.9181558586221965e-08 7.4654096346675280e-12 2.6167946007483593e-05 7.4654096346675280e-12 1.1416866951346547e-05 1.0843193978335268e-08 3.7584812958830142e-05 1.0850659387969936e-08
0 11.000000 U U 0.285000 0.297469 0.350000 0.500000 -2.984513 1.000000 0.010000 1.5819974809968964e-05 -6.4256821238903420e-15 1.1188146010306395e-05 2.7387436454982238e-08 6.1339388477925560e-12 1.1215533446761377e-05 6.1339388477925560e-12 4.4782974989049963e-06 2.2325036380980789e-09 1.5693830945666374e-05 2.2386375769458713e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.500000 -2.670354 1.000000 0.010000 1.5819974809968964e-05 -6.4256821238903420e-15 1.1114711948289076e-05 2.3109041663413306e-08 5.1403130829765738e-12 1.1137820989952490e-05 5.1403130829765738e-12 4.3237594288765510e-06 1.7282313856026197e-09 1.5461580418829041e-05 1.7333716986855963e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.500000 -2.356194 1.000000 0.010000 1.5819974809968964e-05 -6.4256821238903420e-15 1.0987348837423166e-05 1.6352124150466747e-08 3.3576482266798404e-12 1.1003700961573633e-05 3.3576482266798404e-12 4.0946142152820884e-06 1.5048769221782085e-09 1.5098315176855721e-05 1.5082345704048883e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.500000 -2.042035 1.000000 0.010000 1.5819974809968964e-05 -6.4256821238903420e-15 1.0833263457207291e-05 9.1818297830532012e-09 1.6478138665832984e-12 1.0842445286990344e-05 1.6478138665832984e-12 3.8727806996047696e-06 2.1072192233252387e-09 1.4715225986595113e-05 2.1088670371918219e-09
0 11.000000 U U 0.285000 0.297469 0.350000 0.500000 -1.727876 1.000000 0.010000 1.5819974809968964e-05 -6.4256821238903420e-15 1.0676142147583259e-05 2.8549670853875538e-09 9.0844398364836868e-13 1.0678997114668646e-05 9.0844398364836868e-13 3.6936473534561652e-06 7.3165086526159864e-10 1.4372644468124812e-05 7.3255930924524704e-10
0 11.000000 U U 0.285000 0.297469 0.350000 0.500000 -1.413717 1.000000 0.010000 1.5819974809968964e-05 -6.4256821238903420e-15 1.0532141043783771e-05 -2.1872179730167042e-09 9.8291918586678797e-13 1.0529953825810754e-05 9.8291918586678797e-13 3.5619485112320964e-06 6.0935239499738692e-10 1.4091902337042851e-05 6.1033531418325375e-10
0 11.000000 U U 0.285000 0.297469 0.350000 0.500000 -1.099557 1.000000 0.010000 1.5819974809968964e-05 -6.4256821238903420e-15 1.0410787022623904e-05 -5.9445913204324878e-09 9.9663809377943680e-13 1.0404842431303472e-05 9.9663809377943680e-13 3.4695193295140991e-06 2.8508367044256523e-10 1.3874361760817570e-05 2.8608030853634464e-10
0 11.000000 U U 0.285000 0.297469 0.350000 0.500000 -0.785398 1.000000 0.010000 1.5819974809968964e-05 -6.4256821238903420e-15 1.0317185215210873e-05 -8.5681073635944153e-09 1.5355859476807411e-12 1.0308617107847279e-05 1.5355859476807411e-12 3.4074725671461590e-06 4.6852773340163174e-10 1.3716089674993438e-05 4.7006331934931247e-10
0 11.000000 U U 0.285000 0.297469 0.350000 0.500000 -0.471239 1.000000 0.010000 1.5819974809968964e-05 -6.4256821238903420e-15 1.0253869043618199e-05 -1.0218423618815855e-08 1.8240856828659259e-12 1.0243650619999384e-05 1.8240856828659259e-12 3.3696042315730035e-06 4.5364603997350780e-10 1.3613254851572388e-05 4.5547012565637373e-10
0 11.000000 U U 0.285000 0.297469 0.350000 0.500000 -0.157080 1.000000 0.010000 1.5819974809968964e-05 -6.4256821238903420e-15 1.0221993557134222e-05 -1.1013444465106511e-08 1.9601621351633679e-12 1.0210980112669115e-05 1.9601621351633679e-12 3.3516851621535643e-06 3.7461645918617607e-10 1.3562665274822680e-05 3.7657662132133944e-10
0 11.000000 U U 0.285000 0.297469 0.350000 0.500000 0.157080 1.000000 0.010000 1.5819974809968964e-05 -6.4256821238903420e-15 1.0221993557134222e-05 -1.1013444465106537e-08 1.9601621351632338e-12 1.0210980112669115e-05 1.9601621351632338e-12 3.3516851621535643e-06 3.7461645918622379e-10 1.3562665274822680e-05 3.7657662132138700e-10
0 11.000000 U U 0.285000 0.297469 0.350000 0.500000 0.471239 1.000000 0.010000 1.5819974809968964e-05 -6.4256821238903420e-15 1.0253869043618199e-05 -1.0218423618815831e-08 1.8240856828665422e-12 1.0243650619999384e-05 1.8240856828665422e-12 3.3696042315730065e-06 4.5364603997350036e-10 1.3613254851572391e-05 4.5547012565636690e-10
